+++++++++++++++++++++++++++++++++++++++++++++
++++++++++       REPORT INFO       ++++++++++
+++++++++++++++++++++++++++++++++++++++++++++


SUMMARY
===============================================
|     Property     |          Value           |
===============================================
| User             | runner                   |
| Host             | ffa3e84e6825             |
| Tool             | Riviera-PRO 2025.04      |
| Report file      | /home/runner/cov.txt     |
| Report date      | 2026-04-10 05:26         |
| Report arguments | -verbose                 |
| Input file       | /home/runner/fcover.acdb |
| Input file date  | 2026-04-10 05:26         |
| Number of tests  | 1                        |
===============================================


TEST DETAILS
==============================================
| Property |              Value              |
==============================================
| Test     | fcover.acdb:fcover              |
| Status   | Error                           |
| Args     | asim +access+r                  |
| Simtime  | 755 ns                          |
| Cputime  | 1.535 s                         |
| Seed     | 1                               |
| Date     | 2026-04-10 05:26                |
| User     | runner                          |
| Host     | ffa3e84e6825                    |
| Host os  | Linux64                         |
| Tool     | Riviera-PRO 2025.04 (simulator) |
==============================================


+++++++++++++++++++++++++++++++++++++++++++++
++++++++++     DESIGN HIERARCHY    ++++++++++
+++++++++++++++++++++++++++++++++++++++++++++


CUMULATIVE SUMMARY
=============================================
|    Coverage Type    | Weight | Hits/Total |
=============================================
| Covergroup Coverage |      1 |   100.000% |
|---------------------|--------|------------|
| Types               |        |      1 / 1 |
=============================================
CUMULATIVE INSTANCE-BASED COVERAGE: 100.000%
COVERED INSTANCES: 1 / 1
FILES: 1


CLASS - /\package fsm_pkg\/fsm_coverage : work.fsm_pkg/\fsm_pkg fsm_coverage \


    SUMMARY
    =============================================
    |    Coverage Type    | Weight | Hits/Total |
    =============================================
    | Covergroup Coverage |      1 |   100.000% |
    |---------------------|--------|------------|
    | Types               |        |      1 / 1 |
    =============================================
    WEIGHTED AVERAGE LOCAL: 100.000%


    COVERGROUP COVERAGE
    ================================================================================
    |                 Covergroup                  |   Hits   |  Goal /  |  Status  |
    |                                             |          | At Least |          |
    ================================================================================
    | TYPE /\package fsm_pkg\/fsm_coverage/fsm_cg | 100.000% | 100.000% | Covered  |
    ================================================================================
    | INSTANCE <UNNAMED1>                         | 100.000% | 100.000% | Covered  |
    |---------------------------------------------|----------|----------|----------|
    | COVERPOINT <UNNAMED1>::cp_rst_n             | 100.000% | 100.000% | Covered  |
    |---------------------------------------------|----------|----------|----------|
    | bin inactive                                |       65 |        1 | Covered  |
    | bin active                                  |        9 |        1 | Covered  |
    |---------------------------------------------|----------|----------|----------|
    | COVERPOINT <UNNAMED1>::cp_bit_in            | 100.000% | 100.000% | Covered  |
    |---------------------------------------------|----------|----------|----------|
    | bin logic_0                                 |       24 |        1 | Covered  |
    | bin logic_1                                 |       50 |        1 | Covered  |
    |---------------------------------------------|----------|----------|----------|
    | COVERPOINT <UNNAMED1>::cp_pf                | 100.000% | 100.000% | Covered  |
    |---------------------------------------------|----------|----------|----------|
    | bin high                                    |        8 |        1 | Covered  |
    | bin low                                     |       66 |        1 | Covered  |
    |---------------------------------------------|----------|----------|----------|
    | COVERPOINT <UNNAMED1>::cp_toggle            | 100.000% | 100.000% | Covered  |
    |---------------------------------------------|----------|----------|----------|
    | bin seq_1011                                |       12 |        1 | Covered  |
    | bin cons_hits_1                             |       15 |        1 | Covered  |
    |---------------------------------------------|----------|----------|----------|
    | COVERPOINT <UNNAMED1>::cp_state             | 100.000% | 100.000% | Covered  |
    |---------------------------------------------|----------|----------|----------|
    | bin idle                                    |       23 |        1 | Covered  |
    | bin S1                                      |       29 |        1 | Covered  |
    | bin S10                                     |       13 |        1 | Covered  |
    | bin S101                                    |        9 |        1 | Covered  |
    |---------------------------------------------|----------|----------|----------|
    | COVERPOINT <UNNAMED1>::cp_state_transition  | 100.000% | 100.000% | Covered  |
    |---------------------------------------------|----------|----------|----------|
    | bin idle_stay                               |       13 |        1 | Covered  |
    | bin idle_to_s1                              |       10 |        1 | Covered  |
    | bin s1_stay                                 |       13 |        1 | Covered  |
    | bin s1_to_idle                              |        3 |        1 | Covered  |
    | bin s1_to_s10                               |       12 |        1 | Covered  |
    | bin s10_to_s101                             |        9 |        1 | Covered  |
    | bin s10_to_idle                             |        4 |        1 | Covered  |
    | bin s101_to_s1                              |        6 |        1 | Covered  |
    | bin s101_to_s10                             |        1 |        1 | Covered  |
    | bin S101_to_idle                            |        2 |        1 | Covered  |
    | illegal bin idle_to_any_[0]                 |        0 |    -     | Zero     |
    | illegal bin idle_to_any_[1]                 |        0 |    -     | Zero     |
    | illegal bin s1_to_any                       |        0 |    -     | Zero     |
    | illegal bin s10_to_any                      |        0 |    -     | Zero     |
    |---------------------------------------------|----------|----------|----------|
    | COVERPOINT <UNNAMED1>::cp_golden_path       | 100.000% | 100.000% | Covered  |
    |---------------------------------------------|----------|----------|----------|
    | bin full_sequence                           |        1 |        1 | Covered  |
    | bin ovelap_sequence                         |        1 |        1 | Covered  |
    |---------------------------------------------|----------|----------|----------|
